coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
1113523,"A. C. Sanders",s.d.,,"Monardella linoides subsp. sierrae",1,Gray,Monardella,linoides,subsp.,sierrae,,"[Other determiner/s]: M. A. Elvin",urn:uuid:0810c425-8a36-4ddf-a4ea-f6c2cb1eee66,"2023-04-11 23:53:42"
656057,unknown,s.d.,,"Phacelia monoensis",1,Halse,Phacelia,monoensis,,,,,urn:uuid:99d95710-1f0c-4054-9789-fdfbcfaacef7,"2023-04-11 23:53:42"
967867,unknown,s.d.,,"Monardella linoides subsp. sierrae",1,Gray,Monardella,linoides,subsp.,sierrae,,,urn:uuid:79d1c5c2-bed7-4c60-970c-bb939d00b797,"2023-04-11 23:53:42"
999631,unknown,s.d.,,"Heuchera duranii",1,Bacig.,Heuchera,duranii,,,,,urn:uuid:08b8f0e6-851c-47b1-abf8-e2bf4dbb615a,"2023-04-11 23:53:42"
1153241,unknown,s.d.,,"Phacelia monoensis",1,Halse,Phacelia,monoensis,,,,,urn:uuid:53ca0484-efd6-4746-9fe2-4829e7cba131,"2023-04-11 23:53:42"
1003226,"Ihsan A. Al-Shehbaz",2007,,"Draba incrassata",1,"(Rollins) Rollins & Price",Draba,incrassata,,,,,urn:uuid:8c97568a-2dcf-4b03-969b-3ed0e8f82de6,"2023-04-11 23:53:42"
786907,unknown,s.d.,,"Myosurus minimus subsp. montanus",1,"G.R. Campb.",Myosurus,minimus,subsp.,montanus,,,urn:uuid:81f3298f-e38c-49a0-9532-7668238337d4,"2023-04-11 23:53:42"
754920,"Nuri Benet-Pierce",2011-03,,"Chenopodium hians",0,Standl.,,,,,,,urn:uuid:e715688a-ed9d-4596-af33-569d6df8cb22,"2022-09-14 13:40:49"
754920,"LeRoy Gross","Sept. 2022",,"Chenopodium luteum",1,Benet-Pierce,,,,,,,urn:uuid:25ee2a59-dab5-49e5-bb36-95c92055ac15,"2022-09-14 13:40:49"
987127,unknown,s.d.,,"Cordylanthus ramosus subsp. setosus",1,Pennell,Cordylanthus,ramosus,subsp.,setosus,,,urn:uuid:f203daad-d95a-43d6-926a-0e4162a3b516,"2023-04-11 23:53:42"
725497,unknown,s.d.,,"Potentilla morefieldii",1,Ertter,Potentilla,morefieldii,,,,,urn:uuid:2079e20f-7339-452b-90da-f999d74f4093,"2023-04-11 23:53:42"
960508,unknown,s.d.,,"Astragalus monoensis",1,Barneby,Astragalus,monoensis,,,,,urn:uuid:351cb5de-c463-4ea5-85ca-49b1652eebed,"2023-04-11 23:53:42"
991487,unknown,s.d.,,"Mirabilis californica var. villosa",1,Kellogg,Mirabilis,californica,var.,villosa,,,urn:uuid:56a6e71a-9c21-46ee-ba79-c8c755c153f5,"2023-04-11 23:53:42"
6193416,unknown,s.d.,,"Carex tiogana",1,"D. W. Taylor & J. D. Mastrog.",,,,,"Mastrogiuseppe, Joy D., and Dean William Taylor. 1999. ?Carex Tiogana (Cyperaceae), a New Sedge from the Sierra Nevada, California.? Novon a Journal of Botanical Nomenclature from the Missouri Botanical Garden 9: 120--123.",,urn:uuid:cf25a35b-db87-4616-ac50-b28769d17e07,"2025-01-07 18:14:21"
3680549,unknown,s.d.,,"Purshia tridentata",1,"(Pursh) DC.",Purshia,tridentata,,,,,urn:uuid:4bda46eb-fd8c-4f41-a0c6-c98e5cc1a8f9,"2023-04-11 23:53:42"
428224,unknown,"A. C. Sanders, 2008",,"Stipa nevadensis",1,"B.L. Johnson",,,,,,,urn:uuid:1acffcba-5128-4c34-945d-11a438c93a2b,"2023-04-11 23:53:42"
2132569,unknown,s.d.,,"Carex orestera",1,Zika,Carex,orestera,,,,,urn:uuid:7ab0abea-39e1-42be-a0f8-a1b77208b362,"2023-04-11 23:53:42"
3530243,unknown,s.d.,,"Boechera bodiensis",1,"(Rollins) Al-Shehbaz",Boechera,bodiensis,,,,,urn:uuid:00438ad2-f938-468d-90c2-b75a73fef25e,"2023-04-11 23:53:42"
3152652,unknown,s.d.,,"Erigeron pygmaeus",1,"(A. Gray) Greene",Erigeron,pygmaeus,,,,,urn:uuid:58f741d9-e814-4aa8-8274-c669a8a64377,"2023-04-11 23:53:42"
3363340,unknown,s.d.,,"Carex tiogana",1,"D. W. Taylor & J. D. Mastrog.",Carex,tiogana,,,,,urn:uuid:b8d9213e-d3fb-4e9c-ba1d-cabf7fae8518,"2023-04-11 23:53:42"
