coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
4775499,collector,unknown,,"Carex albonigra",0,Mackenzie,,,,,,,urn:uuid:d430461b-7ca9-433a-a3cf-8cf6aa3ae42e,"2024-10-10 07:55:41"
4776012,"J.D. Morefield","20 March 2021",,"Linanthus bigelovii subsp. johnsonii",0,"J.M. Porter & R. Patt.",,,,,,,urn:uuid:a33509bf-1e31-4ee1-9f56-8cbdb0a80d86,"2024-10-10 07:55:41"
4776012,synonomy,2024,,"Linanthus bigelovii var. johnsonii",1,"(J.M. Porter & R. Patt.) Tiehm",,,,,,,urn:uuid:b7858791-9592-40fc-afab-0a1aab725f09,"2024-10-10 07:55:41"
4775502,"J.D. Morefield",2021-01-14,,"Drymocallis pseudorupestris var. crumiana",1,Ertter,,,,,,"UC duplicate det. B. Ertter 2007.",urn:uuid:3c58c9f0-3319-4e96-96ef-9e96f1f83e9c,"2024-10-10 07:55:41"
4775502,collector,unknown,,"Potentilla glandulosa subsp. pseudorupestris",0,"(Rydb.) D.D. Keck",,,,,,,urn:uuid:3cef36c5-0d95-43b9-8009-470069990134,"2024-10-10 07:55:41"
4685921,unknown,s.d.,,"Mirabilis retrorsa",1,"A.A. Heller",,,,,,,urn:uuid:f9d2f320-5ab6-4073-9c4a-5d1a87e79d78,"2024-10-10 07:55:41"
4775525,"J.D. Morefield",2021-01-21,,"Nemacladus inyoensis",1,"Morin & T.J. Ayers",,,,,,,urn:uuid:43ca5f06-2f0b-4ea7-93cd-10d8498d552b,"2024-10-10 07:55:41"
5888690,"J.D. Morefield","25 September 2023",,"Draba subumbellata",1,"Rollins & R.A. Price",,,,,,,urn:uuid:255529d4-e510-4d3f-b7ff-63a2d7f61949,"2024-10-10 07:55:41"
5888690,"J.D. Morefield","26 JUL 1987",ined.,"Draba subumbellata",0,"Rollins & R.A. Price",,,,,,,urn:uuid:c4059950-c96b-4712-b4f5-8431f437bbac,"2024-10-10 07:55:41"
5716699,"J.D. Morefield","MAY 1984",,"Senecio spartioides var. granularis",1,"Maguire & A. Holmgren ex Cronq.",,,,,,,urn:uuid:7c86e90d-9563-407e-a2b3-563dc355d644,"2024-10-10 07:55:41"
4775662,"J.D. Morefield","16 February 2021",,"Potentilla morefieldii",1,Ertter,,,,,"Brittonia 44: 432-435. 1992","Paratype. From original personal field map: 37.54360°N 118.20427°W WGS84 (±60 m).",urn:uuid:81af8e1b-4d1f-46d4-a122-2f71a87148c7,"2024-10-10 07:55:41"
4775662,"B. Ertter",1991,,"Potentilla morefieldii",0,Ertter,,,,,,,urn:uuid:5ffdb07c-cdad-4433-86d6-398d21ec4f0c,"2024-10-10 07:55:41"
4775662,"J.D. Morefield","JAN 1985",,"Potentilla drummondii subsp. bruceae",0,"(Rydb.) D.D. Keck",,,,,,,urn:uuid:377fb67e-43f2-4836-a1ca-b0c9507f63ef,"2024-10-10 07:55:41"
4775672,"J.D. Morefield","16 February 2021",,"Draba subumbellata",1,"Rollins & R.A. Price",,,,,"Aliso 12: 25-27. 1988","Paratype. From original personal field map: 37.59009°N 118.23770°W WGS84 (±100 m).",urn:uuid:b8ba4eec-db9c-4c59-9ba9-1a16fcb2a3f6,"2024-10-10 07:55:41"
4775672,"R.C. Rollins",1987,,"Draba subumbellata",0,"Rollins & R.A. Price",,,,,,,urn:uuid:1aef6eaf-a3e1-43e6-8fc4-32632aa36a6d,"2024-10-10 07:55:41"
4775672,"J.D. Morefield",2021-02-16,,"Draba subumbellata",0,"Rollins & R.A. Price",,,,,,,urn:uuid:adf3e473-a1ef-4726-82a8-3212c6d825d7,"2024-10-10 07:55:41"
4775672,"J.D. Morefield","JAN 1985",,"Draba sierrae",0,"C.W. Sharsmith",,,,,,(?),urn:uuid:ee0c87bf-096d-4563-8b5c-ea9465d16c35,"2024-10-10 07:55:41"
4867498,unknown,s.d.,,"Carex orestera",1,Zika,Carex,orestera,,,,,urn:uuid:8d6c16fd-c224-462b-a2e8-a1edb50b6ef9,"2023-04-11 23:53:42"
